Proverb,Translation,Wisdom/Explanation,Specific Themes,General Theme
"À ń gba òrò mọ adìẹ lọ́ọ̀ wọ́ ikú, ó ní wọ́n ò jẹ́ kí òun jẹ láàtàn","One struggles to save the chick from certain death, and it complains that it is prevented from foraging at the dump",Chicks foraging at the dump are easy prey for kites.,caginess caution moderation patience prudence,Good person
"A ní ṣẹ́ẹ̀ ṣẹ́ẹ̀, o ní ò ń lọ sóko; bó o bá lọ sóko ò ḿ bọ̀ wá bá a ní ilé","You are told that a job is your responsibility, and you say you are on your way to the farm; you may be on your way to the farm, but the job will be there on your return","One may devise stratagems to defer carrying out one’s duties, but they are unlikely to make others carry them out.",caginess caution moderation patience prudence,Good person
"À ń ṣa kẹ́kẹ́, a á jò ẹwà ni; à ḿ bà bà jà, a á jò ẹwà ni",Marking one’s face with kẹ́kẹ́ is a quest for beauty; marking one’s face with àbàjà is a quest for beauty,The pains one takes to adorn oneself are for a good end.,caginess caution moderation patience prudence,Good person
"Asìn kú tán, alugbá ò lọ; ó fẹ́ẹ̀ ṣúpó ni?","The funeral is over, but the calabash beater does not take his leave; does he want to inherit a wife?",One should know when their role is complete and leave accordingly.,caginess caution moderation patience prudence,Good person
Aaka ò gbẹ́ ọ̀dàn; igbó ní ń gbẹ́,"The hedgehog does not live in the grassland, only in the forest",Certain things are proper; certain things are not.,caginess caution moderation patience prudence,Good person
"Àáké tí ń gégi-í kọ sẹ̀, gbẹ́nàgbẹ́nà-á bu ètù sórí","The axe that cuts wood stumbles, and the carver anoints his head with medicinal powder",The evildoer’s conscience will not let him or her rest.,caginess caution moderation patience prudence,Good person
Àáyá kan-án bẹ́ọ̀ wò; igba wọ́n ti rí ọ,"If a single colubus monkey sees you, be sure that two hundred of them have seen you",A secret disclosed to one person is as good as published for all.,caginess caution moderation patience prudence,Good person
"Abẹ ní ḿ bẹ orí; oní ṣẹ́ àtẹ́ lẹsẹ̀ ní ḿ bẹ ọ̀nà; bèbè ìdí ní ḿ bẹ kíjìpá; bí a dá wọ́ọ̀bí bẹ ni, a tán nínú ẹni","The razor begs the scalp; the wayfarer’s soles beg the path; waist beads beg the home-woven cloth; when the begging is done, one lets matters drop","One is placated by a person close to one; afterward, one allows oneself to be appeased.",caginess caution moderation patience prudence,Good person
Abẹ́rẹ́ bọ́ sómi tàló; Ọdọ̀fín ní òun-ún gbọ́ ‘jàbú!’,The needle makes an almost inaudible sound when it drops into the water; Ọdọ̀fín said he heard a loud splash,Excessive exaggeration amounts to lying.,caginess caution moderation patience prudence,Good person
"Abiyamọ, kà gbo wà rà; ọjọ́ ń lọ","Nursing mother, make the herbal decoction in good time; the day is waning",Attend to duties in time.,caginess caution moderation patience prudence,Good person
Àbùlẹ̀ ní ḿ mú aṣọ tọ́ọ̀; ẹni tí kò tọ́ọ̀ jú àbùlẹ̀ yó ṣe ara-arẹ̀ ló fo aṣọ,Patching extends the life of clothes; whoever does not save materials for patching deprives himself or herself of clothing,Everything has its use; conserve your resources.,caginess caution moderation patience prudence,Good person
"Àdàbà ń pò gèdè, ó rò pé ẹyẹlé ò gbọ́; ẹyẹlé gbọ́, títí irí ló tì irí","The dove recites incantations, thinking that the pigeon cannot hear; the pigeon hears, only pretending to sleep",Never mistake a person’s easygoing demeanor for cowardice or folly.,caginess caution moderation patience prudence,Good person
"Adìẹ̀ ń jẹ kà, ó ḿ mu mi, ó ń gbẹ òkúta pẹ̀pẹ̀ mí, ó ní òun ò lé hín; ìdérègbẹ̀ tó lé hín ń gbẹ irin mí bí?","The chicken eats corn, drinks water, even swallows small pebbles, and yet complains that it lacks teeth; does the goat that has teeth swallow steel?",One should be content with one’s lot.,caginess caution moderation patience prudence,Good person
"Àdó gba ara ẹ̀ tẹ́ lẹ̀, ká tó fì oògùn si?","Could the small gourd save itself, before we put charms into it?",Do not seek protection from a helpless person.,caginess caution moderation patience prudence,Good person
Àdó ì ṣí lo òògùn ọrọ̀,Choosing-a-base-and-maintaining-it is the medicine for wealth,One should not be a rolling stone.,caginess caution moderation patience prudence,Good person
"Afẹ́fẹ́ tó wọ lé tó kó aṣọ ìyàrá, ìkìlọ̀ ni fún ẹni tó wọ ti ẹ̀ sọ rùn",The wind that enters the house and carries off the clothes in the bedroom is a warning to those who wear theirs around their necks,"When disaster befalls the most formidable people, those less formidable should take warning.",caginess caution moderation patience prudence,Good person
Àfojú di ìlẹ̀ kẹ̀ ní ń jẹ́ ‘Ẹrú-kò-ní’,An impertinent bead that is named ‘The-slave-does-not-own-its like’,One must be mindful of how one’s actions might affect others.,caginess caution moderation patience prudence,Good person
"Àgékù ejò, tí ń ṣo ro bí agbọ́n",Partially severed snake stings like a wasp,A wounded adversary is a vicious one.,caginess caution moderation patience prudence,Good person
Àgún bà jẹ́ ni to lódò,Pounding-until-it-is-ruined is the habit of the owner of the mortar,One should exercise restraint in using what one has in abundance.,caginess caution moderation patience prudence,Good person
Àgùntàn bọ̀ lọ̀ jọ̀ ògbà gbé elé èrì bọ̀rọ̀,"The big, fat sheep does not soon forget the provider of corn bran",One remembers one’s benefactor.,caginess caution moderation patience prudence,Good person
Àgùntàn ń wò sùn-ùn; ọgbọ́n inúpé egbèje,"The sheep stares blankly, but its cunning stratagems number 1,400",Looks are deceptive.,caginess caution moderation patience prudence,Good person
Àgùntàn ò jíní kù tù kù tù ṣe ẹnu bọbọ,A sheep does not wake in the morning and droop its mouth,One should not dawdle in the morning.,caginess caution moderation patience prudence,Good person
Àgbà òṣì kà ń gbin ìyà sílẹ̀ de ọmọ-ọ rẹ̀,A wicked elder sows suffering for his children,One’s character often affects the fortunes of one’s children.,caginess caution moderation patience prudence,Good person
"Àgbẹ̀ ò dá ṣọ lóṣù, à fọdún","A farmer does not make new clothes monthly, only annually",The reward for one’s labor is often a long time coming.,caginess caution moderation patience prudence,Good person
Àgbẹ̀ tó bá pẹ́ nílé ò ní ì kọ oko sán,A farmer who tarries in the house will not object to hoeing the farm in the afternoon,He who dallies makes his tasks that much more difficult.,caginess caution moderation patience prudence,Good person
À-gbẹ́rù-àì-wẹ̀ hìn lọ̀ pà lá bá fì gbà gbé ìyà sílẹ̀,Picking-up-one’s-load-without-checking-one’s-rear caused the piece of broken bottle to forget its mother on the ground,The hasty traveler leaves his goods behind.,caginess caution moderation patience prudence,Good person
Agbójú lógún fì ara-arẹ̀ fó ṣì ta,He-who-places-his-hopes-on-inheritance delivers himself to destitution,One should secure one’s own living.,caginess caution moderation patience prudence,Good person
Àgbọ́ kà letí ọlọ́ràn-án fì ń di,The ear that will insist on hearing everything will go deaf,There is some benefit to ignoring certain things.,caginess caution moderation patience prudence,Good person
Àgbọ́ kàn lé ò pa ni lé bi,A thing in which one reposes one’s trust does not make one hunger,One’s reserve guarantees one’s supplies.,caginess caution moderation patience prudence,Good person
Àì fẹ̀ sọ̀ kè ì bò síni kò ṣe égbè,An alarm raised without moderation finds no helpers,"If the person who raises an alarm puts people off by his or her methods, they will not come to his or her aid.",caginess caution moderation patience prudence,Good person
"Àì gbọ́ràn, baba àfojú di","Disobedience, father of disregard",To disobey people is to show a lack of regard for them.,caginess caution moderation patience prudence,Good person
Àì lè fọhùn ní ń ṣáájú orí burúkú,Inability to speak out precedes misfortunes,A person who will not speak on his or her own behalf suffers the consequences.,caginess caution moderation patience prudence,Good person
Àì rọ̀rọ̀ sọ ìyàwó tó wí pé èkúté-ilé yó jẹ idẹ; bẹ́dẹ̀ ni Mọ́jidẹ ń jẹ́,"The junior wife could find nothing to say, and said that the mice in the house will eat brass; the senior wife of the household happens to be named Mọjidẹ [Ọmọ-ọ̀-jẹ-idẹ, meaning ‘Child eats brass’]",Veiled insults directed at an adversary are as potent as any other sort of provocation.,caginess caution moderation patience prudence,Good person
"Àì sàn là ń wò, a kìí wo ikú",One treats an illness; one does not treat death,"If one neglects an illness until death intervenes, the treatment comes too late.",caginess caution moderation patience prudence,Good person
"Àì tètè mólè, olè é mó lóko","Because of the delay in apprehending the thief, the thief apprehends the owner of the farm","One must be alert in dealing with slippery people; otherwise, they turn the tables.",caginess caution moderation patience prudence,Good person
Ajá ilé ò mọ dẹ ṣe,A domesticated dog does not know how to hunt,Pampering kills initiative.,caginess caution moderation patience prudence,Good person
Ajá kìí dán-nu ‘Kò séwu’ lókò ẹkùn,A dog does not boast ‘No danger’ in a leopard’s bush,Never sneer at obvious danger.,caginess caution moderation patience prudence,Good person
Ajá tí yó sọnù kìí gbọ́ fèrè ọdẹ,A dog destined to be lost does not hear the hunter’s whistle,"No matter what help one may render, one cannot save an ill-fated person.",caginess caution moderation patience prudence,Good person
Ajá tó rí mọ́tò tòtò dúró fì ara-arẹ̀ bọ Ògún,A dog that sees a motor vehicle and stands in its way makes itself a sacrifice to Ògún,A person who needlessly endangers himself or herself deserves his or her fate.,caginess caution moderation patience prudence,Good person
"Àjànàkú tí a gbẹ́ọ̀ fì ń sílẹ̀ dè, erin-ín mo jú; erin ò bá ibẹ̀ lọ","One digs a pit in the path of the elephant, but the elephant can read signs; the elephant does not go that way",The alert person will thwart an enemy’s machinations.,caginess caution moderation patience prudence,Good person
"Àjẹ̀ ní fẹ́ ni, èkúté ilé",One-that-bites-and-blows-on-the-wound: the house mouse,Be wary of adversaries who pose as friends.,caginess caution moderation patience prudence,Good person
Àkàlàmàgbò-ó ṣoore ó yọ gẹ̀gẹ̀ lọ́rùn,The ground hornbill did a favor and developed a goiter,Good deeds sometimes come back to haunt the doer.,caginess caution moderation patience prudence,Good person
"Akánjú jayé, ọ̀run wọn ò pẹ̀",People who live impatiently: their going to heaven is not far off,Reckless living leads to early death.,caginess caution moderation patience prudence,Good person
Àkèekèé ò ṣé-édì ní bò,A scorpion is not a thing to close one’s palms on,Some matters call for extreme caution.,caginess caution moderation patience prudence,Good person
Àkèekèé rìn ta pó ta pó,The scorpion travels accompanied by venom,The stalwart is never unprepared to answer a call.,caginess caution moderation patience prudence,Good person
"Àkèekèé ta Kindolẹ pẹ̀n, ará ilé e Labata ń ro jú; kí ló kàn án ní bẹ̀?","A scorpion stung Kindo in the testicle, and a person from Labata’s household frowns in dismay; what business is it of his?",One should not take on matters that are not one’s business.,caginess caution moderation patience prudence,Good person
Àkọ̀ tó bá bà ọ̀bẹ dì tẹ̀ ágbọgbẹ́ là ti inú,A sheath that engages in a dispute with a knife will suffer an internal wound,Never court the anger of a person in a position to inflict injury on you.,caginess caution moderation patience prudence,Good person
Akó bà ni lè kúté-ilé; ejò kìí jà gbàdo,The mouse is a bringer of disaster to the innocent; snakes do not eat corn,Bad company brings bad fortune.,caginess caution moderation patience prudence,Good person
"Àlátí ajá bá lá, inú ajá ní ń gbẹ́",Whatever dream the dog dreams remains inside the dog,Keep your own counsel.,caginess caution moderation patience prudence,Good person
Aláàárù kìí sọ pé kí ajé ṣe òun pa; ẹlẹ́rù ń kọ́?,The hired carrier does not ask to die from his efforts; what would the owner of the merchandise ask?,One should not assume other people’s responsibilities and risks.,caginess caution moderation patience prudence,Good person
Alágbàró ò ye ge; aláṣọ ágbà á bọ́ dọ̀la,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow,There is nothing like having one’s own.,caginess caution moderation patience prudence,Good person
"Aláǹgbá tó fo jú di erè, ikùn ejò ni yó bàá ara-a rẹ̀",A lizard that views a python with disregard will find itself in the belly of the snake,Whoever disdains obvious danger will suffer dire consequences.,caginess caution moderation patience prudence,Good person
Alápàá ǹ dẹ̀dẹ̀ ń jayé lé bé-lé bé,The sparrow enjoys life carefully,The best way to live is carefully.,caginess caution moderation patience prudence,Good person
"Alára ò lè wí pé kò dùn òun, ká ní ó kùn àì sùn, ó kùn àì wo","The owner of the body does not say that he is in no pain, while we insist on commiserating with him for his sleeplessness and his restlessness",One does not commiserate with a person who does not admit his or her misfortune.,caginess caution moderation patience prudence,Good person
"Alárìnjó tí yó jòó, kó ti ìwò yí mú ẹsẹ̀ kó le kó kó kó",The person who will engage in itinerant dancing should look to his legs in good time,"Before embarking on a trade, one should hone one’s tools.",caginess caution moderation patience prudence,Good person
Aláwàdà ló lè ṣọ kọ òṣó nú; ẹni tí kò lẹ́nu mímú tete ò lè ṣọ kọ alá pẹ pẹ,Only a good-humored person can make a good husband for an ill-humored woman; a person whose mouth is not sharp cannot make a good husband for a hyperactive woman,Incompatible natures cannot make a good marriage.,caginess caution moderation patience prudence,Good person
"Àlejò tó wọ nílé-e Pọ̀ngilá, Pọ̀ngilá ní, ‘Ìwọ ta ni?’ Àlejò-ó ní òun Bugi jẹ; Pọ̀ngilá ni, ‘Tòò, lọ́ dà jú igi-ì tì rẹ lọ́tọ̀’","The visitor arrived at the home of Pọ̀ngilá [Lickwood], and Pọ̀ngilá asked him, ‘Who are you?’ The visitor replied, ‘I am Bugi jẹ’ (Bitewood). Pọ̀ngilá said, ‘Well, you had better go find yourself some wood elsewhere’",Do not encourage people to take advantage of you or abuse your generosity.,caginess caution moderation patience prudence,Good person
Àlọ ti alá ba un; àbọ̀ ti àna-a rẹ̀,To Tortoise belongs the outward trip; to his father-in-law belongs the return,"The person in the right in a dispute, if he or she is too vindictive, quickly becomes the one in the wrong.",caginess caution moderation patience prudence,Good person
Àlùkẹrẹ sẹ ò mọ̀ pé olóko-ó lá dàá,The weed did not know that the farmer had a machete,The evildoer does not consider the response of the person wronged.,caginess caution moderation patience prudence,Good person
Àmọ̀jù là ḿ mọ ẹkùn-un Sàárẹ̀,Sàárẹ̀ always goes too far in his description of a leopard,An immoderate display of knowledge soon backfires.,caginess caution moderation patience prudence,Good person
Àpá àdì ló tó ko iná lójú,Only a potsherd has what it takes to confront a live coal,Only a person capable of facing a situation should take it on.,caginess caution moderation patience prudence,Good person
Apata para-á pa ara-a rẹ̀ lá jù bà; ẹni tí yó ko là ń wò ye,Apatapara kills himself in the wilderness; who will carry him is now the question,One should not outstrip one’s help.,caginess caution moderation patience prudence,Good person
Àpò tí a kò fì ọwọ́ ẹni dá ṣòro-ó ki wọ́ọ̀ bọ̀,A pocket one did not make with one’s own hand is a difficult one to dip one’s hand into,One should keep one’s hands in one’s own pockets.,caginess caution moderation patience prudence,Good person
Ará Ìbàdàn kìí sá gun; à ó rìn sẹ́ hìn ni wọ́n ń wí,"Ibadan people do not run from war; what they say is, ‘We will fall back a little’",There are ways of avoiding battle without seeming to do so.,caginess caution moderation patience prudence,Good person
"À-rí-ì-gbọdọ̀-wí, à-rí-ì-gbọdọ̀-fọ̀ ni ikú awo","Something-seen-but-unmentionable, something-seen-but-unspeakable is the death of a guardian of the mysteries",The eyes sometimes see things that are too sacred for the mouth to mention.,caginess caution moderation patience prudence,Good person
"Àrísá iná, à kò ta gì rì ejò; àgbà tó ré jò tí kò sá, ara ikú ló ń yá a","Fire, something-one-sees-and-flees; snake, something-one-sees-and-jumps; an elder who sees a snake and does not flee flirts with death","Fire and snakes are not things to take lightly, and elders should not be embarrassed to flee from danger.",caginess caution moderation patience prudence,Good person
Àrò kàn ní ḿ mú à-sun-ùn-dá wá; ẹlẹ́ kún sunkún ẹ̀ ó lọ,Going-from-one-sad-thought-to-another results in endless weeping; the person weeping does his weeping and departs,"If one keeps thinking sad thoughts, one will ever remain miserable; if one must be sad, one must observe some limits.",caginess caution moderation patience prudence,Good person
Arọ ò na sẹ̀ kan dí ọ̀nà,A cripple does not block the road with his legs,A person with a handicap should not challenge those who are not handicapped.,caginess caution moderation patience prudence,Good person
Arọ tí kò lẹ́ sẹ̀ ní lẹ̀-ẹ́ lọ́gbọ́n nínú,A cripple who has no legs to stand on has wisdom inside him,"Whatever one’s handicaps, one will have some asset.",caginess caution moderation patience prudence,Good person
Arọ̀ ba sá ò ṣo jo,He-who-flees-on-seeing-the-king is no coward,One’s safest course is to steer clear of those in authority.,caginess caution moderation patience prudence,Good person
Arúgbó ṣo ge rí; àkísà-á lọgbà rí,The old person was once a dandy; the rag was once in fashion,Those who are favored should remember that times and circumstances do change.,caginess caution moderation patience prudence,Good person
Àrùn là ń wo; a kìí wo kú,One treats a disease; one does not treat death,We should attend to problems before they become unmanageable.,caginess caution moderation patience prudence,Good person
Asáré te te ní ń kọjá ilé; arìngbẹ̀rẹ̀ ni yó ríí oyè jẹ,The fast runner will run past his home; the leisurely stroller is the one who will win the title,A fast start does not guarantee success.,caginess caution moderation patience prudence,Good person
"Àṣá ḿ bá ẹyẹlé ṣeré, ẹyẹlé ń yọ̀; ẹyẹlé ń fì kú ṣeré","The kite plays with the pigeon, and the pigeon rejoices; the pigeon is courting death",An enemy who pretends friendship is even more dangerous.,caginess caution moderation patience prudence,Good person
Àṣàyá kìí jẹ́ kí ọmọ ọ̀yọ̀ ó gbọ́n,Roughhousing keeps the young of the cane rat from learning wisdom,A person who takes life as a jest does not learn to be wary.,caginess caution moderation patience prudence,Good person
Àṣesílẹ̀ là bọ̀ wá bá; ẹni tó da omi síwájú á tẹ lẹ̀ tútù,What one puts aside is what one returns to find; whoever dumps water ahead of him or her will step on wet earth,One reaps what one sows.,caginess caution moderation patience prudence,Good person
Àṣẹ̀ṣẹ̀ wọ́n ológbò ní ń jìyà; bó bá pẹ́ títí a tó eku-upa,Only the newly weaned cat suffers; eventually it will learn to kill mice,A child may be helpless today but not in the future.,caginess caution moderation patience prudence,Good person
Aṣòro ó wọ̀ bí ẹ̀wù àṣejù,Difficult-to-wear is like the garment of immoderation,Wearing the cloak of immoderation exposes one to difficulties.,caginess caution moderation patience prudence,Good person
Ata-ákéré; ìjá jù ú,Pepper is small; its fight is much bigger,One should not judge people by their size.,caginess caution moderation patience prudence,Good person
Ataare-érẹ̀n itún ìdí-irẹ̀ ṣe ó ń fì òbùró ṣẹ́ sín; òbùró ì bá rẹ̀n itún ìdí-irẹ̀ ṣe asunwọ̀n jú ataare lọ,"Alligator pepper has someone to tend it, and it mocks the òbùró tree; had the òbùró tree someone to tend it, it would look better than alligator pepper","A person enjoying a run of good fortune should not deride the less fortunate; if they had been similarly favored, there is no telling what they might have accomplished.",caginess caution moderation patience prudence,Good person
Atà kò fọ́ ẹyin àparò: ohun ojú ń wá lójú ń rí,Person-who-stones-and-breaks-partridge’s-eggs: the eyes find what the eyes seek,"The culprit is asking for trouble, and he will not be disappointed.",caginess caution moderation patience prudence,Good person
Atẹ̀ hìn rọ̀gbọ́n agé tí ajá; agé e lé títán ó fi abẹ pamọ́,"A-creature-that-learns-wisdom-in-reverse-order, dog-with-severed-ears: after its ears have been severed, it hides the razor",Prevention makes sense only before the disaster.,caginess caution moderation patience prudence,Good person
Àtẹ̀ lẹ wọ́ ẹni kìí tannì,One’s palm does not deceive one,One’s trust is best placed in one’s own resources.,caginess caution moderation patience prudence,Good person
Atọrọ-ohun-gbogbo-lọ́ọ̀ wọ́ Ọlọ́run kìí kánjú,The-seeker-of-all-things-from-God does not yield to impatience,The supplicant must be patient for an answer.,caginess caution moderation patience prudence,Good person
Àwò fín ní ḿ mú ọ̀rẹ̀ bà jẹ́; fí rí là ń wo ẹni tí ń wo ni,Persistent staring ruins a friendship; look only glancingly at those looking at you,A battle of looks does not help a friendship.,caginess caution moderation patience prudence,Good person
"Ayá ra rò hìn, aya ọdẹ, ó ní ọkọ òun-ún pa èkínní, ó pa ẹkẹfà","The impatient reporter, wife of the hunter, says that her husband killed the first and killed the sixth",The impatient reporter is likely to outstrip her report.,caginess caution moderation patience prudence,Good person
Àyé gba ògùn mọ́ ọ́rán ṣẹ́ sọ̀ sí òdú; àyé gba Tápà ó kọ́lé ìgunnu,"The cultivated vegetable is contented, so it sends for its wild variety; the Nupe [Fulani] person is so comfortable that he builds a tall house","When one enjoys a life of ease, one is tempted to overreach.",caginess caution moderation patience prudence,Good person
Ayé ò ṣé é fì pá jẹ,Life is nothing to enjoy heedlessly,Life demands caution.,caginess caution moderation patience prudence,Good person
‘Bá mi má dìẹ’ k ìí fì orúnkún bó,‘Help me catch a chicken’ does not scrape his knees,Overzealousness in helping others is a fault.,caginess caution moderation patience prudence,Good person
"Baálé ilé kú, wọ́n fì olókùn rùn rọ́ lé; ẹkún ń gorí ẹkún",The man of the house died and they put an invalid in his place; weeping climbs upon weeping,People known to be unsuitable should not be entrusted with important affairs.,caginess caution moderation patience prudence,Good person
"‘Baálé pè mí ń kò wá,’ ọ̀hàn hàn ní ń pa wọ́n",‘The patriarch of the compound called me but I did not respond’ dies of anxiety,A person who defies his or her main succor heads for ruin.,caginess caution moderation patience prudence,Good person
"Bá nù sọ, má bàá èèyàn sọ; èèyàn ò sí; ayé ti dèké","Counsel with your inside, not with people; [good] people are no longer to be found; the world has turned false",There is no one to trust but oneself.,caginess caution moderation patience prudence,Good person
"Bí a bá bu ìrẹ̀ jẹ, ká bu ìrẹ̀ sá pò","If one takes a bite of a cricket, one should put a little in one’s pocket","Even if one has only a little, one should still save something for the morrow.",caginess caution moderation patience prudence,Good person
"Bí a bá bú ọba, à sẹ́; bí a bá bú ọ̀ṣọ̀run, à sẹ́","If one insults the king, one denies doing so; if one insults the chief minister, one denies doing so","One may disdain authority, but should not expose oneself to punishment for doing so.",caginess caution moderation patience prudence,Good person
"Bí a bá bú ọba tí a sẹ́, ọba a fì ni sílẹ̀","If one insults a king and denies doing so, the king leaves one in peace",One should not be held accountable for an insult one recants.,caginess caution moderation patience prudence,Good person
"Bí a bá dá kẹ́, ta ra ẹni a bá ni dá kẹ́","If one keeps silent, what is in one’s body keeps silent as well","If one does not disclose one’s problems, one can expect no help.",caginess caution moderation patience prudence,Good person
"Bí a bá fì àgbò fẹ́ eégún, à fì okùn-un rẹ̀ sílẹ̀","If one drags a sheep to present to a masquerader, one lets go of its leash","When one has made a gift of something, one should forget about it.",caginess caution moderation patience prudence,Good person
"Bí a bá fẹ́ ràn ọ̀rẹ̀ ẹni lá fẹ̀ jù, bó bá fo rí gbún, ìjà ní ń dà","If one loves one’s friend beyond reason, when that friend bumps his or her head, a fight results",Friendship that knows no limits is a burden.,caginess caution moderation patience prudence,Good person
"Bí a bá fì dídùn họ ifàn, a ó họ ra dé eegun","If one scratches an itch as long as the sensation is pleasant, one will scratch down to the bone",Even pleasures should be pursued in moderation.,caginess caution moderation patience prudence,Good person
"Bí a bá fì ojú igi gbígbẹ wo tútù, tútù-ú lè wó pa ni","If one approaches a dried-up tree as one would a green one, it is likely to crash and crush one to death",One should be alive to the peculiarities of whatever situations one finds oneself in.,caginess caution moderation patience prudence,Good person
"Bí a bá fì ọdún mẹ́ta pìlẹ̀ ṣẹ̀wèrè, ọjọ́ wo la ó bùn i jẹ?","If one takes three years to prepare for madness, when will one start biting people?",Preparations for an action should not be endless.,caginess caution moderation patience prudence,Good person
"Bí a bá fì ọdún mẹ́ta ṣán pá, ọdún mélò ó la ó fì fò?","If one spends three years flapping one’s arms, how many years will one take to fly?",Preparations for an action should not be interminable.,caginess caution moderation patience prudence,Good person
"Bí a bá fì ọwọ́ kan fọ mọ fọ́ kọ, ọwọ́ mẹ́wẹ̀wá kìí ṣe égbàá mọ́","If one gives a girl away in marriage with one hand, ten hands will not suffice to take her back",Mistakes made casually are seldom easy to correct.,caginess caution moderation patience prudence,Good person
"Bí a bá lé ẹni, tí a kò bá ẹni, ìwọ̀n là ḿ bá ẹni-í ṣọ̀tá mọ","If one chases a person and does not catch up, one should moderate one’s hatred of the person",Envy should not turn into hatred.,caginess caution moderation patience prudence,Good person
"Bí a bá ní ká bẹ́ igi, a ó bẹ́ èèyàn","If one attempts to cut a tree, one will cut people","If one behaved toward certain people as they deserve, one would offend innocent people.",caginess caution moderation patience prudence,Good person
"Bí a bá ní ká jẹ èkuru kò tán, a kìí gbọn ọwọ́-ọ rẹ̀ sá wo","If one wishes to clean one’s plate of dry bean grits, one does not keep scraping the remnants from one’s fingers onto the plate","If one wishes a quarrel to end, one does not keep recalling its cause.",caginess caution moderation patience prudence,Good person
"Bí a bá ń jà, bí ì ká kú là ń wí?","Even though we are quarreling, should we wish each other dead?",Quarrels should stop short of death wishes.,caginess caution moderation patience prudence,Good person
"Bí a bá ń retí òfò, ká fì ohun tọrẹ","If one expects a loss, one should make a gift of what one has",Rather give things away than lose them.,caginess caution moderation patience prudence,Good person
"Bí a bá pe rí ajá, ká pe rí ìkòkò tí a ó fì sè é","If one talks of the dog, one should also talk of the pot one will use to cook it","If one proposes a momentous action, one should also consider the consequences.",caginess caution moderation patience prudence,Good person
Bí a bá rí obìnrin à lé rí ogun; bí a bá rí obìnrin à sọ̀rọ̀ ìjà; bí a dé ojú ogun à ba bù bù,"When one sees women, one boasts of war; when one sees women, one talks of battle; when one gets to battle, one lies low","Before women, one protects one’s image; in battle, one protects one’s life.",caginess caution moderation patience prudence,Good person
"Bí a bá sọ pé ẹyẹ ni yó jẹ ojú ẹni, bí a rí tí-ń-tín, a ó máa sá lọ","If one has been told that a bird will eat one’s eyes, when one sees the tiniest of birds, one takes to one’s heels","Given prior warning of a peril, take extraordinary precautions.",caginess caution moderation patience prudence,Good person
